rand1,rand2,raw grade,raw letter,,scaled grade,scaled letter,GPA,,,,,,,,,,
1.01,1.99,56.1,F,,56.1,F,0.0,,,,,,,,,,
0.98,1.97,60.1,D=,,60.1,D=,0.7,,,,,,,,,,
0.99,1.98,60.4,D=,,60.4,D=,0.7,,,,,,,,,,
0.99,2.00,63.1,D=,,63.1,D=,0.7,,,,,,,,,,
0.99,2.00,64.4,D,,64.4,D,1.0,,,,,,,,,,
1.04,2.05,66.8,D+,,66.8,D+,1.3,,,,,,,,,,
1.01,1.96,70.5,C=,,70.5,C=,1.7,,,,,,,,,,
1.03,1.96,74.0,C,,74.0,C,2.0,,,,,,,,,,
1.04,1.99,76.1,C,,76.1,C,2.0,,,,,,,,,,
0.99,1.98,76.8,C+,,76.8,C+,2.3,,,,,,,,,,
0.98,2.00,76.9,C+,,76.9,C+,2.3,,,,,,,,,,
1.03,1.99,77.0,C+,,77.0,C+,2.3,,,,,,,,,,
1.03,1.99,78.4,C+,,78.4,C+,2.3,,,,,,,,,,
1.05,2.05,78.4,C+,,78.4,C+,2.3,,,,,,,,,,
1.02,1.95,79.2,C+,,79.2,C+,2.3,,,,,,,,,,
1.02,2.02,79.7,C+,,79.7,C+,2.3,,,,,,,,,,
1.00,1.95,79.7,C+,,79.7,C+,2.3,,,,,,,,,,
0.99,1.99,80.7,B=,,80.7,B=,2.7,,,,,,,,,,
0.97,2.00,81.1,B=,,81.1,B=,2.7,,,,,,,,,,
0.99,1.96,81.9,B=,,81.9,B=,2.7,,,,,,,,,,
1.04,1.98,83.3,B,,83.3,B,3.0,,,,,,,,,,
1.03,2.03,83.4,B,,83.4,B,3.0,,,,,,,,,,
1.01,2.04,83.4,B,,83.4,B,3.0,,,,,,,,,,
1.02,2.03,83.7,B,,83.7,B,3.0,,,,,,,,,,
1.03,1.96,83.9,B,,83.9,B,3.0,,,,,,,,,,
0.98,1.99,84.2,B,,84.2,B,3.0,,,,,,,,,,
0.95,2.02,84.4,B,,84.4,B,3.0,,,,,,,,,,
1.02,1.99,84.5,B,,84.5,B,3.0,,,,,,,,,,
1.00,2.03,84.8,B,,84.8,B,3.0,,,,,,,,,,
1.02,2.05,85.0,B,,85.0,B,3.0,,,,,,,,,,
0.98,1.95,85.2,B,,85.2,B,3.0,,,,,,,,,,
0.96,1.99,85.3,B,,85.3,B,3.0,,,,,,,,,,
1.03,2.04,85.3,B,,85.3,B,3.0,,,,,,,,,,
0.98,1.98,85.6,B,,85.6,B,3.0,,,,,,,,,,
0.98,1.95,85.7,B,,85.7,B,3.0,,,,,,,,,,
1.02,2.00,86.8,B+,,86.8,B+,3.3,,,,,,,,,,
1.03,1.97,86.9,B+,,86.9,B+,3.3,,,,,,,,,,
1.00,1.98,87.1,B+,,87.1,B+,3.3,,,,,,,,,,
0.98,1.97,87.2,B+,,87.2,B+,3.3,,,,,,,,,,
1.02,2.04,87.4,B+,,87.4,B+,3.3,,,,,,,,,,
1.00,1.95,87.7,B+,,87.7,B+,3.3,,,,,,,,,,
1.01,1.95,88.1,B+,,88.1,B+,3.3,,,,,,,,,,
1.00,2.02,88.6,B+,,88.6,B+,3.3,,,,,,,,,,
0.99,2.04,88.6,B+,,88.6,B+,3.3,,,,,,,,,,
1.00,1.97,88.7,B+,,88.7,B+,3.3,,,,,,,,,,
1.00,1.98,88.9,B+,,88.9,B+,3.3,,,,,,,,,,
0.97,1.99,89.0,B+,,89.0,B+,3.3,,,,,,,,,,
0.99,1.98,89.2,B+,,89.2,B+,3.3,,,,,,,,,,
1.00,2.01,89.3,B+,,89.3,B+,3.3,,,,,,,,,,
1.02,2.02,89.6,B+,,89.6,B+,3.3,,,,,,,,,,
1.01,2.04,90.3,A=,,90.3,A=,3.7,,,,,,,,,,
0.98,2.01,90.6,A=,,90.6,A=,3.7,,,,,,,,,,
1.03,2.00,90.7,A=,,90.7,A=,3.7,,,,,,,,,,
1.00,1.98,91.1,A=,,91.1,A=,3.7,,,,,,,,,,
0.98,1.98,91.2,A=,,91.2,A=,3.7,,,,,,,,,,
1.04,2.03,91.2,A=,,91.2,A=,3.7,,,,,,,,,,
1.03,1.96,91.4,A=,,91.4,A=,3.7,,,,,,,,,,
1.00,1.96,91.4,A=,,91.4,A=,3.7,,,,,,,,,,
1.04,2.01,91.6,A=,,91.6,A=,3.7,,,,,,,,,,
1.01,1.96,91.8,A=,,91.8,A=,3.7,,,,,,,,,,
1.04,1.99,92.0,A=,,92.0,A=,3.7,,,,,,,,,,
1.00,1.95,92.1,A=,,92.1,A=,3.7,,,,,,,,,,
1.03,2.04,92.6,A=,,92.6,A=,3.7,,,,,,,,,,
1.02,2.04,93.0,A=,,93.0,A=,3.7,,,,,,,,,,
1.02,1.99,93.1,A=,,93.1,A=,3.7,,,,,,,,,,
1.04,1.99,93.3,A,,93.3,A,4.0,,,,,,,,,,
0.96,1.98,93.4,A,,93.4,A,4.0,,,,,,,,,,
0.96,1.97,93.6,A,,93.6,A,4.0,,,,,,,,,,
1.01,1.97,93.7,A,,93.7,A,4.0,,,,,,,,,,
0.96,2.04,93.9,A,,93.9,A,4.0,,,,,,,,,,
1.05,2.03,94.0,A,,94.0,A,4.0,,,,,,,,,,
1.05,1.97,94.2,A,,94.2,A,4.0,,,,,,,,,,
0.95,1.99,94.5,A,,94.5,A,4.0,,,,,,,,,,
0.98,2.04,94.8,A,,94.8,A,4.0,,,,,,,,,,
1.03,1.95,95.1,A,,95.1,A,4.0,,,,,,,,,,
